Q15615000	Madame_David_by_Jacques-Louis_David,_1813,_oil_on_canvas_-_National_Gallery_of_Art,_Washington_-_DSC09988.JPG	Mater_Dolorosa_with_open_hands.jpg
Q17559706	Jan_Bicker.jpg	Krzyżanowski_View_of_Berestechko.jpg
Q17889070	SA_7382-Mr._Jan_Bernd_Schaep_(1633-1666).jpg	Cristo_ejemplo_de_mártires_(Museo_del_Prado).jpg
Q20267225	Joseph-Siffred_Duplessis_-_Portrait_of_Charles-Claude_Flahaut_de_la_Billarderie_comte_d'Angiviller_(1730-1809)_-_KMS7065_-_Statens_Museum_for_Kunst.jpg	Francisco_d'Andrade_Leitao,_delegat_från_Portugal_-_Nationalmuseum_-_15445.tif
Q20177871	Mrs._Manigault_Heyward_(Susan_Hayne_Simmons)_MET_DP162105.jpg	Anton_von_Maron_003.jpg
Q27954633	Retrato_de_la_Baronesa_Lefèvre_-_Pierre_Puvis_de_Chavannes.jpg	Marriage_of_strongbow_and_aoife.jpg
Q20277183	Jens_Juel_-_Grevinde_Margarethe_Moltke,_f._Løvenskiold_-_KMS2084_-_Statens_Museum_for_Kunst.jpg	Painting,_Red_Peonies,_19th–20th_century_(CH_18369133).jpg
Q18689362	Choga_-_Kongara-doji,_attendant_to_the_Buddhist_Deity,_Fudo_Myo-o_-_Google_Art_Project.jpg	Dominique_Jacques_de_Eerens_(1781-1840)._Gouverneur-generaal_(1835-40)_Rijksmuseum_SK-A-3800.jpeg
Q19858807	Brooklyn_Museum_-_The_Chasm_in_the_Rock_in_the_Cave_Beneath_Calvary_(La_fente_du_rocher_dans_la_grotte_sous_le_calvaire)_-_James_Tissot.jpg	En_el_estudio,_por_Vicente_Palmaroli.jpg
Q21190975	John_William_Waterhouse_-_Gossip.jpg	Miss_Charlotte_Papendick_as_a_Child_LACMA_47.29.8.jpg
Q23928680	British_-_Portrait_of_a_Man,_called_the_Earl_of_Exeter_-_Google_Art_Project.jpg	Marc_-_Der_Traum_1912.JPG
